Country,Data Source,Beverage Types,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)
Cameroon,Data source,Beer,,,,2.51,2.67,2.26,2.07,2.03,2.05,2.35,2.29,2.28,2.19,1.99
Cameroon,Data source,Wine,,,,0.07,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.07
Cameroon,Data source,Spirits,,,,0.01,0.01,0.06,0.06,0.04,0.00,0.00,0.00,0.01,0.01,0.00
Cameroon,Data source,Other alcoholic beverages,,,,3.06,3.06,3.42,3.13,2.96,2.61,2.76,2.73,2.71,2.64,2.47
Canada,Data source,All types,8.00,8.10,8.00,8.20,8.20,8.20,8.10,8.00,7.70,7.80,7.80,7.70,7.70,7.70
Canada,Data source,Beer,3.90,4.00,4.00,4.20,4.20,4.20,4.20,4.20,4.10,4.20,4.20,4.20,4.20,4.30
Canada,Data source,Wine,1.90,1.90,1.90,1.80,1.80,1.80,1.70,1.60,1.50,1.50,1.50,1.40,1.40,1.30
Canada,Data source,Spirits,2.20,2.20,2.10,2.20,2.20,2.20,2.20,2.20,2.10,2.10,2.10,2.10,2.10,2.10
Canada,Data source,Other alcoholic beverages,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Central African Republic,Data source,All types,,,,1.73,1.78,1.74,1.74,1.75,1.62,1.64,1.65,1.66,1.74,1.75
Central African Republic,Data source,Beer,,,,0.28,0.29,0.30,0.27,0.25,0.21,0.25,0.27,0.29,0.36,0.40
Central African Republic,Data source,Wine,,,,0.01,0.04,0.04,0.07,0.08,0.01,0.01,0.02,0.02,0.03,0.03
Central African Republic,Data source,Spirits,,,,0.04,0.04,0.02,0.03,0.04,0.03,0.03,0.04,0.02,0.04,0.02
