Country,Data Source,Beverage Types,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)
New Zealand,Data source,Wine,2.95,2.92,2.92,3.28,3.08,3.07,3.03,3.14,3.04,2.52,2.49,2.48,2.30,2.65
New Zealand,Data source,Spirits,1.48,1.48,1.48,1.55,1.30,1.32,1.18,1.34,1.37,1.09,1.10,1.07,1.11,1.16
New Zealand,Data source,Other alcoholic beverages,1.12,1.22,1.22,1.22,1.15,1.13,1.09,0.91,0.81,0.09,0.11,0.13,0.14,0.16
Nicaragua,Data source,All types,,,3.35,3.42,3.40,3.67,3.83,3.69,3.70,3.81,3.76,3.49,3.50,3.60
Nicaragua,Data source,Beer,,,1.31,1.33,1.32,1.38,1.30,1.18,1.13,1.08,1.08,1.03,1.04,1.04
Nicaragua,Data source,Wine,,,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.02
Nicaragua,Data source,Spirits,,,2.02,2.08,2.07,2.27,2.50,2.50,2.55,2.71,2.67,2.44,2.45,2.54
Nicaragua,Data source,Other alcoholic beverages,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Niger,Data source,All types,,,,0.10,0.10,0.11,0.10,0.10,0.09,0.10,0.09,0.06,0.12,0.08
Niger,Data source,Beer,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06
Niger,Data source,Wine,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Niger,Data source,Spirits,,,,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.00,0.05,0.01
Niger,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nigeria,Data source,All types,,,,8.90,9.04,9.20,9.46,9.64,9.73,9.79,9.80,9.61,9.73,9.98
Nigeria,Data source,Beer,,,,0.71,0.68,0.65,0.64,0.59,0.54,0.52,0.53,0.46,0.44,0.40
Nigeria,Data source,Wine,,,,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nigeria,Data source,Spirits,,,,0.08,0.03,0.03,0.06,0.02,0.02,0.01,0.02,0.00,0.02,0.00
Nigeria,Data source,Other alcoholic beverages,,,,8.07,8.34,8.52,8.77,9.03,9.17,9.26,9.25,9.15,9.27,9.58
Niue,Data source,All types,,,,,,7.02,5.02,7.07,6.22,8.71,8.47,5.29,9.37,7.54
Niue,Data source,Beer,,,,,,3.30,2.10,3.74,3.15,5.04,2.28,1.32,2.15,4.19
Niue,Data source,Wine,,,,,,0.12,0.12,0.34,0.11,1.85,0.11,1.16,0.00,0.00
Niue,Data source,Spirits,,,,,,3.60,2.80,2.99,2.96,1.82,6.08,2.81,7.22,3.35
Niue,Data source,Other alcoholic beverages,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data
Norway,Data source,All types,6.22,6.21,6.44,6.66,6.68,6.75,6.60,6.47,6.37,6.22,6.03,5.89,5.49,5.66
Norway,Data source,Beer,2.68,2.67,2.83,2.94,2.96,3.06,3.02,3.01,2.98,2.96,2.76,2.89,2.82,2.93
Norway,Data source,Wine,2.30,2.29,2.30,2.32,2.28,2.23,2.11,2.05,2.00,1.90,1.84,1.81,1.60,1.62
Norway,Data source,Spirits,1.10,1.11,1.18,1.26,1.31,1.33,1.35,1.30,1.28,1.25,1.22,1.12,1.00,1.05
Norway,Data source,Other alcoholic beverages,0.14,0.14,0.13,0.14,0.13,0.13,0.12,0.11,0.11,0.11,0.22,0.07,0.07,0.07
Oman,Data source,All types,,,0.58,0.74,0.72,0.73,0.70,0.71,0.72,0.65,0.60,0.60,0.50,0.50
Oman,Data source,Beer,,,0.24,0.41,0.41,0.41,0.37,0.35,0.31,0.26,0.26,0.32,0.25,0.27
Oman,Data source,Wine,,,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00
Oman,Data source,Spirits,,,0.31,0.31,0.30,0.31,0.32,0.34,0.39,0.38,0.33,0.27,0.24,0.23
Oman,Data source,Other alcoholic beverages,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pakistan,Data source,All types,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
Pakistan,Data source,Beer,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pakistan,Data source,Wine,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pakistan,Data source,Spirits,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pakistan,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Palau,Data source,All types,,,,,,,,8.86,11.30,9.01,6.98,,,
Palau,Data source,Beer,,,,,,,,6.88,8.68,7.07,4.87,,,
Palau,Data source,Wine,,,,,,,,0.52,0.52,0.41,0.27,,,
Palau,Data source,Spirits,,,,,,,,1.45,2.10,1.53,1.84,,,
Palau,Data source,Other alcoholic beverages,,,,,,,,0.00,0.00,0.00,0.00,,,
Panama,Data source,All types,,,7.11,7.25,7.23,7.07,6.47,6.02,5.79,5.89,5.74,5.78,5.65,5.75
Panama,Data source,Beer,,,5.05,5.02,4.98,4.79,4.33,3.95,3.71,3.72,3.50,3.46,3.48,3.52
Panama,Data source,Wine,,,0.24,0.33,0.31,0.30,0.29,0.27,0.22,0.23,0.19,0.23,0.17,0.13
Panama,Data source,Spirits,,,1.81,1.89,1.94,1.97,1.83,1.79,1.84,1.92,2.03,2.08,1.99,2.08
Panama,Data source,Other alcoholic beverages,,,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
Papua New Guinea,Data source,All types,,,,1.50,1.54,1.59,1.56,1.46,1.43,1.44,1.54,1.76,1.86,1.75
Papua New Guinea,Data source,Beer,,,,0.77,0.80,0.77,0.69,0.62,0.57,0.57,0.58,0.60,0.64,0.59
Papua New Guinea,Data source,Wine,,,,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.04
Papua New Guinea,Data source,Spirits,,,,0.72,0.72,0.80,0.86,0.83,0.85,0.87,0.95,1.15,1.21,1.12
Papua New Guinea,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Paraguay,Data source,All types,,,,,6.93,7.69,6.98,6.82,6.22,6.10,6.56,5.66,6.71,6.88
Paraguay,Data source,Beer,,,,,3.54,3.74,3.46,3.70,3.48,3.48,3.59,3.70,4.20,3.79
Paraguay,Data source,Wine,,,,,1.26,1.71,1.31,1.18,0.97,0.82,0.84,0.43,0.61,0.92
Paraguay,Data source,Spirits,,,,,1.99,2.09,1.99,1.70,1.77,1.72,2.03,1.50,1.83,2.03
Paraguay,Data source,Other alcoholic beverages,,,,,0.14,0.15,0.22,0.25,0.00,0.08,0.10,0.03,0.07,0.14
Peru,Data source,All types,,,,,5.79,6.38,4.31,4.26,4.44,4.27,4.50,4.03,4.22,4.59
Peru,Data source,Beer,,,,,2.71,2.74,2.38,2.09,1.92,1.66,1.69,1.75,1.70,1.69
Peru,Data source,Wine,,,,,0.35,0.44,0.43,0.42,0.42,0.33,0.35,0.32,0.30,0.23
Peru,Data source,Spirits,,,,,2.73,3.20,1.51,1.74,2.10,2.27,2.46,1.95,2.21,2.67
Peru,Data source,Other alcoholic beverages,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Philippines,Data source,All types,,,4.91,4.86,4.60,4.28,4.17,4.07,4.22,4.46,4.46,4.44,4.57,4.77
Philippines,Data source,Beer,,,1.28,1.31,1.28,1.26,1.19,1.14,1.29,1.36,1.21,1.11,1.13,1.19
Philippines,Data source,Wine,,,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01
Philippines,Data source,Spirits,,,3.61,3.53,3.30,3.01,2.96,2.92,2.91,3.08,3.24,3.31,3.43,3.56
Philippines,Data source,Other alcoholic beverages,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Poland,Data source,All types,10.67,10.08,10.11,10.00,10.70,11.40,10.90,10.40,9.50,9.19,9.06,8.02,7.74,8.40
Poland,Data source,Beer,5.68,5.77,5.49,5.28,5.90,6.10,6.10,5.90,5.30,4.66,4.51,4.31,4.08,4.14
Poland,Data source,Wine,0.81,0.82,0.89,0.97,1.00,1.20,1.30,1.30,1.20,1.53,1.64,1.64,1.56,1.78
Poland,Data source,Spirits,4.18,3.49,3.73,3.75,3.80,4.10,3.50,3.20,3.00,3.01,2.90,2.07,2.09,2.48
Poland,Data source,Other alcoholic beverages,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Portugal,Data source,All types,,,10.30,10.84,10.90,11.19,11.32,11.65,12.06,12.18,12.74,11.93,12.10,12.13
Portugal,Data source,Beer,,,2.91,3.34,3.39,3.53,3.69,3.76,3.75,3.71,3.59,3.60,3.68,3.78
Portugal,Data source,Wine,,,5.92,6.02,6.02,6.07,6.01,6.24,6.62,6.68,7.30,6.42,6.53,6.43
Portugal,Data source,Spirits,,,1.11,1.18,1.18,1.25,1.28,1.31,1.36,1.47,1.52,1.55,1.56,1.59
Portugal,Data source,Other alcoholic beverages,,,0.37,0.30,0.30,0.33,0.35,0.34,0.33,0.33,0.33,0.35,0.33,0.33
Qatar,Data source,All types,,1.34,1.34,2.01,1.76,1.90,1.57,1.42,1.19,1.04,0.91,0.80,0.72,0.48
Qatar,Data source,Beer,,0.33,0.32,0.33,0.34,0.36,0.38,0.41,0.35,0.28,0.25,0.21,0.13,0.09
Qatar,Data source,Wine,,0.12,0.13,0.11,0.09,0.27,0.12,0.17,0.11,0.10,0.07,0.05,0.05,0.00
Qatar,Data source,Spirits,,0.89,0.88,1.56,1.33,1.26,1.06,0.84,0.72,0.66,0.59,0.54,0.53,0.39
Qatar,Data source,Other alcoholic beverages,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Republic of Korea,Data source,All types,,,,8.17,8.97,9.31,9.05,8.83,9.03,9.18,9.66,9.55,11.45,10.33
Republic of Korea,Data source,Beer,,,,2.04,2.37,2.43,2.34,2.22,1.89,2.00,2.32,2.41,2.37,2.23
Republic of Korea,Data source,Wine,,,,0.13,0.14,0.18,0.19,0.14,0.12,0.15,0.04,0.04,0.04,0.03
Republic of Korea,Data source,Spirits,,,,0.24,0.27,0.33,0.37,0.33,0.34,0.32,0.47,0.52,0.47,0.46
Republic of Korea,Data source,Other alcoholic beverages,,,,5.76,6.19,6.37,6.15,6.14,6.68,6.72,6.82,6.58,8.56,7.61
Republic of Moldova,Data source,All types,,,6.28,6.05,6.13,6.83,7.30,7.63,7.49,6.91,5.93,5.24,4.70,6.16
Republic of Moldova,Data source,Beer,,,2.06,1.84,1.79,2.17,2.12,1.85,1.58,1.38,1.14,0.86,0.30,0.30
Republic of Moldova,Data source,Wine,,,0.34,0.31,0.31,0.34,0.42,0.62,0.27,0.20,0.64,0.56,0.45,2.27
Republic of Moldova,Data source,Spirits,,,3.86,3.90,4.03,4.31,4.75,5.16,5.64,5.34,4.15,3.82,3.63,3.58
Republic of Moldova,Data source,Other alcoholic beverages,,,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Romania,Data source,All types,,,9.10,9.00,10.40,11.90,10.60,8.51,7.68,9.82,8.78,9.62,9.78,10.16
Romania,Data source,Beer,,,4.70,4.50,4.90,5.50,5.44,4.62,4.07,4.24,3.64,3.38,3.12,3.18
Romania,Data source,Wine,,,3.00,2.60,3.10,3.50,3.30,2.99,2.33,4.29,3.33,3.92,3.16,3.47
Romania,Data source,Spirits,,,1.40,1.90,2.40,2.90,1.90,0.90,1.28,1.29,1.82,2.32,3.50,3.52
Romania,Data source,Other alcoholic beverages,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Russian Federation,Data source,All types,,11.20,11.24,11.12,11.30,12.15,12.30,11.83,11.56,11.46,11.26,10.81,10.41,10.12
Russian Federation,Data source,Beer,,4.32,4.38,4.18,4.22,4.68,4.75,4.11,3.65,3.45,3.08,2.91,2.62,2.17
Russian Federation,Data source,Wine,,1.23,1.30,1.27,1.26,1.27,1.18,1.00,1.02,0.94,0.89,0.79,0.74,0.70
Russian Federation,Data source,Spirits,,5.64,5.56,5.67,5.82,6.19,6.37,6.72,6.88,7.06,7.28,7.11,7.05,7.25
Russian Federation,Data source,Other alcoholic beverages,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rwanda,Data source,All types,,,,7.12,7.03,6.32,6.74,6.88,7.01,6.75,6.67,7.84,5.74,7.16
Rwanda,Data source,Beer,,,,0.79,0.70,0.57,0.65,0.63,0.54,0.46,0.45,0.59,0.55,0.61
Rwanda,Data source,Wine,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rwanda,Data source,Spirits,,,,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.01,0.01,0.01,0.01
Rwanda,Data source,Other alcoholic beverages,,,,6.29,6.29,5.71,6.06,6.24,6.44,6.26,6.21,7.23,5.17,6.54
Saint Kitts and Nevis,Data source,All types,,,8.33,8.79,10.05,10.47,10.18,10.91,10.14,9.14,8.48,8.32,8.21,8.15
Saint Kitts and Nevis,Data source,Beer,,,3.77,3.87,3.84,3.84,3.84,3.91,3.84,3.32,3.19,3.24,3.35,3.40
Saint Kitts and Nevis,Data source,Wine,,,0.26,0.65,0.84,0.97,0.46,0.30,0.18,0.26,0.18,0.25,0.32,0.65
Saint Kitts and Nevis,Data source,Spirits,,,4.27,4.22,5.29,5.59,5.80,6.64,6.07,5.51,5.06,4.78,4.50,4.07
Saint Kitts and Nevis,Data source,Other alcoholic beverages,,,0.03,0.05,0.08,0.08,0.08,0.06,0.05,0.05,0.04,0.04,0.04,0.03
Saint Lucia,Data source,All types,,,10.83,11.60,11.79,12.92,13.42,14.13,12.95,12.49,12.33,11.67,11.74,11.61
Saint Lucia,Data source,Beer,,,3.29,3.45,3.42,3.64,3.99,3.93,3.66,3.46,3.21,2.96,2.97,2.94
Saint Lucia,Data source,Wine,,,1.31,1.46,1.20,1.29,1.36,1.68,0.72,0.68,0.84,0.75,1.16,1.11
Saint Lucia,Data source,Spirits,,,6.19,6.51,6.97,7.79,7.84,8.29,8.35,8.15,8.09,7.80,7.46,7.40
Saint Lucia,Data source,Other alcoholic beverages,,,0.05,0.18,0.20,0.21,0.24,0.24,0.22,0.20,0.19,0.17,0.15,0.16
Saint Vincent and the Grenadines,Data source,All types,,,6.81,6.26,6.14,6.36,5.38,5.47,5.83,5.20,5.19,5.02,4.95,4.89
Saint Vincent and the Grenadines,Data source,Beer,,,2.31,2.09,2.13,2.21,2.26,2.41,2.26,1.87,2.01,2.10,2.15,2.18
Saint Vincent and the Grenadines,Data source,Wine,,,0.16,0.19,0.18,0.20,0.20,0.20,0.12,0.07,0.07,0.09,0.07,0.08
Saint Vincent and the Grenadines,Data source,Spirits,,,4.32,3.96,3.80,3.92,2.88,2.83,3.18,3.02,2.88,2.61,2.51,2.61
Saint Vincent and the Grenadines,Data source,Other alcoholic beverages,,,0.01,0.03,0.03,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02
Samoa,Data source,All types,,,,2.06,2.98,4.15,3.90,3.51,3.63,3.62,4.16,3.28,3.37,2.95
Samoa,Data source,Beer,,,,1.46,2.50,3.59,3.57,3.35,3.31,3.30,3.70,3.02,3.20,2.81
Samoa,Data source,Wine,,,,0.34,0.23,0.29,0.16,0.09,0.08,0.06,0.06,0.05,0.02,0.03
Samoa,Data source,Spirits,,,,0.26,0.26,0.27,0.16,0.07,0.24,0.26,0.40,0.21,0.15,0.11
Samoa,Data source,Other alcoholic beverages,,,,No data,No data,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.00
San Marino,,All types,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
San Marino,,Beer,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
San Marino,,Wine,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
San Marino,,Spirits,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
San Marino,,Other alcoholic beverages,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
San Marino,Data source,All types,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
San Marino,Data source,Beer,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
San Marino,Data source,Wine,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
San Marino,Data source,Spirits,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
San Marino,Data source,Other alcoholic beverages,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Sao Tome and Principe,Data source,All types,,,,4.42,4.01,4.04,4.17,5.46,5.19,5.68,6.40,5.66,4.89,5.07
Sao Tome and Principe,Data source,Beer,,,,1.04,1.04,0.98,0.97,1.02,1.12,1.12,1.14,1.16,1.15,1.17
Sao Tome and Principe,Data source,Wine,,,,2.66,2.26,2.33,2.58,3.84,3.34,3.81,4.49,3.78,2.85,3.26
Sao Tome and Principe,Data source,Spirits,,,,0.72,0.72,0.73,0.61,0.60,0.74,0.75,0.77,0.72,0.89,0.64
Sao Tome and Principe,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saudi Arabia,Data source,All types,,,,0.09,0.09,0.09,0.10,0.08,0.05,0.06,0.05,0.05,0.05,0.05
Saudi Arabia,Data source,Beer,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saudi Arabia,Data source,Wine,,,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saudi Arabia,Data source,Spirits,,,,0.09,0.09,0.08,0.09,0.08,0.05,0.06,0.05,0.05,0.05,0.05
Saudi Arabia,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Senegal,Data source,All types,,,,0.23,0.26,0.30,0.28,0.29,0.29,0.31,0.32,0.34,0.33,0.28
Senegal,Data source,Beer,,,,0.13,0.14,0.16,0.16,0.15,0.15,0.14,0.13,0.13,0.15,0.15
Senegal,Data source,Wine,,,,0.10,0.11,0.13,0.11,0.13,0.12,0.15,0.16,0.17,0.14,0.09
Senegal,Data source,Spirits,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.04,0.04
Senegal,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Serbia,Data source,All types,,,,9.72,9.75,9.39,9.77,10.17,9.60,7.42,7.25,6.95,7.53,7.38
Serbia,Data source,Beer,,,,5.01,4.89,4.77,5.02,5.14,4.77,3.21,3.07,2.91,3.65,3.68
Serbia,Data source,Wine,,,,2.32,2.44,2.20,2.32,2.57,2.38,1.61,1.55,1.51,1.48,1.38
Serbia,Data source,Spirits,,,,2.39,2.42,2.42,2.43,2.46,2.45,2.60,2.64,2.53,2.41,2.31
Serbia,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Seychelles,Data source,All types,,,,4.33,4.28,5.69,6.84,6.95,7.31,6.96,6.72,7.33,6.33,7.11
Seychelles,Data source,Beer,,,,2.90,2.85,4.70,4.98,5.03,5.67,5.48,6.23,6.73,6.28,6.36
Seychelles,Data source,Wine,,,,0.96,0.96,0.78,0.85,1.07,0.37,0.00,0.00,0.00,0.00,0.00
Seychelles,Data source,Spirits,,,,0.47,0.47,0.22,1.01,0.85,1.26,1.45,0.49,0.60,0.05,0.75
Seychelles,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00
Sierra Leone,Data source,All types,,,,6.74,6.77,6.66,6.64,6.48,6.54,6.75,6.88,6.88,7.10,6.68
Sierra Leone,Data source,Beer,,,,0.42,0.43,0.41,0.44,0.43,0.46,0.44,0.45,0.47,0.40,0.42
Sierra Leone,Data source,Wine,,,,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00
Sierra Leone,Data source,Spirits,,,,0.05,0.05,0.02,0.01,0.01,0.02,0.03,0.03,0.02,0.02,0.02
Sierra Leone,Data source,Other alcoholic beverages,,,,6.25,6.25,6.22,6.18,6.03,6.06,6.27,6.39,6.38,6.67,6.24
Singapore,Data source,All types,1.88,1.92,1.81,1.99,1.85,1.81,1.69,1.63,1.55,1.49,1.45,2.17,2.08,2.03
Singapore,Data source,Beer,1.26,1.36,1.32,1.40,1.31,1.30,1.20,1.20,1.15,1.11,1.08,1.47,1.34,1.29
Singapore,Data source,Wine,0.29,0.28,0.27,0.27,0.25,0.24,0.23,0.21,0.19,0.17,0.16,0.20,0.13,0.12
Singapore,Data source,Spirits,0.30,0.25,0.19,0.29,0.26,0.23,0.23,0.20,0.19,0.18,0.18,0.49,0.61,0.61
Singapore,Data source,Other alcoholic beverages,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.00,0.00,0.00
Slovakia,Data source,All types,10.64,10.76,10.66,10.96,11.23,11.87,11.06,10.89,11.06,10.03,9.85,10.78,10.73,11.06
Slovakia,Data source,Beer,3.39,3.63,3.51,3.30,3.90,3.79,3.93,3.83,3.85,3.99,4.38,4.53,4.32,4.47
Slovakia,Data source,Wine,2.22,2.11,2.23,2.00,2.13,2.01,1.79,2.15,1.56,1.33,1.46,1.59,1.48,1.49
Slovakia,Data source,Spirits,4.44,4.56,4.45,5.06,4.61,5.57,4.88,4.31,5.41,4.23,3.65,4.29,4.56,4.85
Slovakia,Data source,Other alcoholic beverages,0.58,0.47,0.47,0.60,0.60,0.50,0.46,0.60,0.24,0.48,0.36,0.37,0.37,0.25
Slovenia,Data source,All types,,,,10.32,10.52,10.94,11.02,12.26,13.52,12.29,11.46,11.07,10.24,9.90
Slovenia,Data source,Beer,,,,4.59,5.09,5.16,5.70,5.70,4.89,4.46,4.40,4.46,3.82,3.60
Slovenia,Data source,Wine,,,,4.84,4.55,4.58,4.08,5.43,4.25,3.67,3.49,3.17,2.92,3.17
Slovenia,Data source,Spirits,,,,0.89,0.88,1.20,1.24,1.13,4.38,4.16,3.56,3.44,3.50,3.14
Slovenia,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Solomon Islands,Data source,All types,,,,1.28,1.21,1.06,0.80,0.99,0.90,1.18,1.18,1.08,0.94,0.94
Solomon Islands,Data source,Beer,,,,1.04,0.97,1.00,0.72,0.93,0.66,0.75,0.74,0.58,0.68,0.85
Solomon Islands,Data source,Wine,,,,0.03,0.03,0.02,0.03,0.02,0.03,0.02,0.02,0.01,0.02,0.02
Solomon Islands,Data source,Spirits,,,,0.21,0.21,0.04,0.05,0.03,0.21,0.41,0.43,0.48,0.24,0.07
Solomon Islands,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Somalia,Data source,All types,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Somalia,Data source,Beer,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Somalia,Data source,Wine,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Somalia,Data source,Spirits,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Somalia,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
South Africa,Data source,All types,,8.09,8.00,7.77,8.06,8.63,8.85,8.79,8.91,6.96,6.93,7.04,7.38,7.69
South Africa,Data source,Beer,,4.16,4.20,3.74,3.97,4.17,4.15,3.98,4.04,3.87,3.78,3.72,3.73,3.87
South Africa,Data source,Wine,,1.08,1.08,1.38,1.36,1.45,1.47,1.43,1.44,1.22,1.27,1.46,1.61,1.50
South Africa,Data source,Spirits,,1.31,1.29,1.29,1.30,1.36,1.41,1.38,1.36,1.11,1.11,1.10,1.16,1.14
South Africa,Data source,Other alcoholic beverages,,1.54,1.43,1.35,1.44,1.65,1.83,2.00,2.08,0.76,0.76,0.76,0.88,1.18
Spain,Data source,All types,,,,9.79,9.99,10.24,11.05,11.86,11.92,10.44,10.24,9.87,11.09,11.12
Spain,Data source,Beer,,,,4.87,4.98,4.92,5.09,5.15,4.98,4.50,4.47,4.17,4.43,4.19
Spain,Data source,Wine,,,,1.97,2.09,2.23,2.56,3.20,3.44,3.80,3.74,3.95,3.86,4.12
Spain,Data source,Spirits,,,,2.76,2.73,2.88,3.18,3.28,3.27,1.49,1.38,1.17,2.81,2.81
Spain,Data source,Other alcoholic beverages,,,,0.18,0.19,0.21,0.22,0.23,0.23,0.65,0.64,0.58,0.00,0.00
Sri Lanka,Data source,All types,3.06,3.25,No data,2.31,2.05,2.10,2.29,1.96,1.97,1.60,1.71,1.64,1.70,1.46
Sri Lanka,Data source,Beer,0.38,0.39,No data,0.30,0.20,0.20,0.20,0.20,0.30,0.17,0.15,0.15,0.10,0.10
Sri Lanka,Data source,Wine,0.04,0.04,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01
Sri Lanka,Data source,Spirits,2.54,2.75,No data,1.97,1.81,1.86,2.05,1.72,1.63,1.42,1.55,1.48,1.60,1.35
Sri Lanka,Data source,Other alcoholic beverages,0.09,0.07,No data,0.04,0.04,0.04,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00
Sudan,Data source,All types,,,,1.73,1.63,1.65,1.65,1.56,1.55,1.59,1.74,1.59,1.81,1.76
Sudan,Data source,Beer,,,,0.14,0.07,0.10,0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Sudan,Data source,Wine,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sudan,Data source,Spirits,,,,0.23,0.22,0.21,0.24,0.24,0.27,0.27,0.31,0.35,0.27,0.26
Sudan,Data source,Other alcoholic beverages,,,,1.36,1.34,1.33,1.34,1.31,1.28,1.32,1.43,1.24,1.54,1.50
